,,a,u,c,n,h,o,s,l,q,r,k,e,z,v,t,x,d,f,w,y,i,b,j,g,m,p
h,l,1.2,0.2,0.2,0.2,0.2,5.2,2.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,1.2,0.2
h,q,0.2,1.2,0.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
h,r,1.2,1.2,0.2,0.2,0.2,4.2,1.2,0.2,0.2,0.2,0.2,3.2,0.2,0.2,1.2,1.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,1.2,1.2,0.2
h,k,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2
h,e,31.2,3.2,15.2,51.2,7.2,8.2,46.2,46.2,2.2,135.2,3.2,14.2,0.2,6.2,13.2,2.2,13.2,11.2,22.2,38.2,13.2,29.2,4.2,14.2,31.2,16.2
h,z,1.2,0.2,2.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2
h,v,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,1.2,0.2
h,t,4.2,0.2,1.2,2.2,18.2,8.2,5.2,2.2,0.2,3.2,0.2,0.2,0.2,0.2,349.2,0.2,1.2,2.2,4.2,0.2,9.2,3.2,0.2,1.2,1.2,1.2
h,x,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3.2,3.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
h,d,25.2,0.2,0.2,0.2,1.2,2.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,1.2
h,f,2.2,0.2,0.2,0.2,0.2,4.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3.2,0.2,0.2,0.2,0.2,0.2
h,w,0.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2,1.2,1.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2,0.2,4.2,0.2,1.2,0.2,0.2,0.2
h,y,0.2,0.2,0.2,3.2,0.2,14.2,0.2,0.2,1.2,0.2,0.2,2.2,0.2,0.2,1.2,0.2,1.2,2.2,3.2,1.2,4.2,0.2,2.2,0.2,0.2,0.2
h,i,4.2,0.2,5.2,78.2,0.2,0.2,76.2,17.2,0.2,2.2,2.2,2.2,0.2,1.2,11.2,2.2,2.2,1.2,2.2,0.2,7.2,1.2,2.2,6.2,16.2,5.2
h,b,0.2,0.2,0.2,1.2,1.2,0.2,0.2,0.2,1.2,1.2,0.2,2.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,2.2,0.2,33.2,0.2,0.2,0.2
h,j,7.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,1.2,0.2,0.2,0.2,0.2,0.2
h,g,0.2,0.2,0.2,0.2,0.2,3.2,0.2,0.2,0.2,7.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2
h,m,3.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,9.2,0.2,1.2,1.2,1.2,0.2,0.2,0.2,4.2,3.2,0.2,0.2,0.2,1.2,0.2
h,p,0.2,0.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2,4.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2
o,a,0.2,1.2,8.2,10.2,2.2,0.2,3.2,9.2,2.2,5.2,1.2,1.2,2.2,0.2,6.2,1.2,11.2,2.2,3.2,0.2,1.2,3.2,1.2,0.2,5.2,0.2
o,u,26.2,8.2,21.2,41.2,15.2,7.2,45.2,38.2,0.2,91.2,7.2,2.2,0.2,1.2,84.2,0.2,9.2,14.2,9.2,4.2,10.2,15.2,13.2,25.2,13.2,5.2
o,c,9.2,1.2,4.2,1.2,7.2,7.2,1.2,2.2,1.2,3.2,16.2,2.2,0.2,1.2,0.2,0.2,1.2,2.2,1.2,1.2,4.2,1.2,1.2,0.2,1.2,1.2
o,n,51.2,2.2,13.2,9.2,13.2,30.2,34.2,10.2,1.2,5.2,4.2,70.2,0.2,3.2,71.2,1.2,45.2,11.2,5.2,12.2,37.2,6.2,5.2,27.2,18.2,7.2
o,h,11.2,1.2,0.2,8.2,1.2,5.2,4.2,0.2,0.2,2.2,0.2,9.2,0.2,0.2,16.2,0.2,1.2,0.2,2.2,1.2,2.2,1.2,0.2,1.2,1.2,1.2
o,o,1.2,2.2,2.2,26.2,5.2,51.2,5.2,19.2,0.2,11.2,27.2,0.2,1.2,1.2,16.2,0.2,58.2,4.2,3.2,1.2,2.2,1.2,1.2,5.2,5.2,3.2
o,s,7.2,7.2,26.2,4.2,6.2,10.2,12.2,1.2,1.2,3.2,1.2,35.2,1.2,8.2,56.2,3.2,0.2,2.2,3.2,4.2,8.2,4.2,1.2,2.2,2.2,10.2
o,l,15.2,6.2,0.2,0.2,1.2,13.2,2.2,76.2,1.2,0.2,0.2,10.2,0.2,8.2,8.2,0.2,13.2,7.2,4.2,2.2,27.2,2.2,2.2,1.2,0.2,0.2
o,q,0.2,0.2,0.2,0.2,1.2,0.2,1.2,2.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,1.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2
o,r,25.2,4.2,5.2,21.2,3.2,9.2,14.2,17.2,0.2,17.2,21.2,58.2,1.2,8.2,56.2,0.2,21.2,3.2,3.2,17.2,22.2,6.2,0.2,12.2,13.2,2.2
o,k,7.2,1.2,3.2,5.2,0.2,2.2,3.2,3.2,0.2,0.2,0.2,13.2,1.2,1.2,3.2,0.2,0.2,1.2,0.2,2.2,9.2,1.2,0.2,1.2,1.2,1.2
o,e,4.2,0.2,1.2,4.2,1.2,0.2,13.2,2.2,1.2,0.2,1.2,0.2,2.2,3.2,2.2,5.2,0.2,2.2,0.2,1.2,3.2,1.2,2.2,0.2,1.2,2.2
o,z,1.2,0.2,0.2,1.2,2.2,1.2,0.2,1.2,0.2,0.2,0.2,2.2,0.2,0.2,1.2,0.2,2.2,0.2,2.2,0.2,3.2,0.2,0.2,1.2,0.2,0.2
o,v,2.2,0.2,0.2,0.2,2.2,2.2,2.2,0.2,0.2,0.2,2.2,121.2,1.2,0.2,1.2,0.2,0.2,0.2,34.2,0.2,5.2,2.2,0.2,0.2,1.2,2.2
o,t,14.2,2.2,5.2,2.2,55.2,30.2,8.2,2.2,1.2,5.2,4.2,24.2,0.2,0.2,18.2,1.2,1.2,1.2,6.2,4.2,17.2,8.2,3.2,0.2,7.2,1.2
o,x,0.2,0.2,1.2,0.2,1.2,1.2,4.2,1.2,1.2,0.2,1.2,2.2,1.2,1.2,1.2,1.2,0.2,1.2,1.2,1.2,2.2,0.2,1.2,1.2,1.2,2.2
o,d,25.2,4.2,3.2,7.2,2.2,11.2,2.2,8.2,2.2,1.2,1.2,15.2,1.2,1.2,5.2,0.2,9.2,3.2,4.2,11.2,11.2,1.2,1.2,1.2,12.2,0.2
o,f,13.2,3.2,4.2,0.2,3.2,7.2,7.2,6.2,0.2,3.2,1.2,3.2,1.2,0.2,25.2,0.2,3.2,27.2,6.2,3.2,9.2,9.2,1.2,0.2,11.2,7.2
o,w,12.2,3.2,1.2,19.2,7.2,7.2,8.2,3.2,0.2,4.2,2.2,17.2,3.2,1.2,14.2,0.2,2.2,3.2,17.2,7.2,31.2,12.2,2.2,0.2,43.2,1.2
o,y,2.2,1.2,3.2,2.2,1.2,11.2,1.2,0.2,0.2,2.2,0.2,1.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,3.2,2.2,1.2,1.2,0.2,2.2
o,i,1.2,0.2,1.2,16.2,0.2,0.2,6.2,4.2,1.2,0.2,0.2,1.2,0.2,0.2,4.2,0.2,4.2,2.2,0.2,0.2,0.2,2.2,2.2,1.2,1.2,0.2
o,b,12.2,2.2,0.2,1.2,1.2,7.2,1.2,6.2,0.2,0.2,0.2,20.2,0.2,3.2,0.2,0.2,1.2,0.2,1.2,1.2,4.2,1.2,0.2,0.2,2.2,1.2
o,j,2.2,4.2,1.2,0.2,1.2,2.2,0.2,1.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2,1.2,1.2,1.2,0.2,2.2,0.2,2.2,1.2,0.2,1.2,1.2
o,g,4.2,3.2,0.2,1.2,0.2,14.2,1.2,4.2,0.2,7.2,1.2,9.2,0.2,1.2,1.2,0.2,2.2,0.2,2.2,0.2,5.2,1.2,1.2,1.2,1.2,1.2
o,m,19.2,20.2,4.2,4.2,2.2,35.2,10.2,6.2,0.2,1.2,0.2,96.2,1.2,1.2,2.2,0.2,1.2,3.2,3.2,12.2,11.2,6.2,0.2,8.2,6.2,9.2
o,p,5.2,7.2,1.2,0.2,1.2,2.2,4.2,17.2,1.2,2.2,1.2,22.2,0.2,1.2,3.2,0.2,5.2,0.2,0.2,5.2,2.2,1.2,0.2,1.2,2.2,2.2
s,a,1.2,1.2,3.2,43.2,7.2,0.2,4.2,24.2,0.2,15.2,2.2,0.2,0.2,6.2,10.2,0.2,7.2,5.2,3.2,21.2,6.2,11.2,1.2,9.2,27.2,5.2
s,u,3.2,0.2,5.2,16.2,0.2,0.2,9.2,1.2,0.2,12.2,2.2,4.2,1.2,0.2,1.2,0.2,1.2,1.2,0.2,0.2,1.2,1.2,0.2,1.2,4.2,7.2
s,c,29.2,3.2,0.2,0.2,10.2,24.2,0.2,2.2,0.2,8.2,2.2,3.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,1.2,4.2,0.2,0.2,0.2,0.2,1.2
s,n,4.2,1.2,2.2,0.2,0.2,19.2,0.2,0.2,0.2,0.2,0.2,10.2,0.2,0.2,9.2,1.2,0.2,0.2,0.2,0.2,5.2,0.2,1.2,1.2,2.2,1.2
s,h,17.2,1.2,3.2,0.2,2.2,37.2,1.2,0.2,0.2,0.2,0.2,30.2,0.2,0.2,44.2,1.2,2.2,3.2,0.2,2.2,29.2,0.2,0.2,6.2,1.2,0.2
s,o,8.2,23.2,9.2,48.2,5.2,13.2,19.2,9.2,0.2,7.2,1.2,0.2,1.2,0.2,5.2,1.2,5.2,10.2,1.2,0.2,5.2,5.2,1.2,4.2,52.2,1.2
s,s,15.2,10.2,3.2,3.2,16.2,16.2,22.2,6.2,0.2,1.2,5.2,22.2,0.2,1.2,12.2,0.2,2.2,1.2,1.2,11.2,26.2,5.2,1.2,0.2,2.2,4.2
s,l,6.2,2.2,1.2,0.2,1.2,11.2,0.2,0.2,0.2,0.2,1.2,13.2,0.2,0.2,3.2,0.2,0.2,0.2,0.2,2.2,8.2,1.2,0.2,0.2,0.2,0.2
s,q,0.2,10.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
s,r,3.2,1.2,0.2,1.2,0.2,3.2,0.2,0.2,1.2,0.2,0.2,6.2,0.2,0.2,3.2,1.2,1.2,0.2,2.2,0.2,3.2,0.2,1.2,0.2,0.2,0.2
s,k,3.2,3.2,1.2,0.2,0.2,5.2,0.2,0.2,0.2,2.2,0.2,5.2,0.2,0.2,0.2,1.2,0.2,2.2,0.2,6.2,18.2,1.2,1.2,1.2,0.2,1.2
s,e,20.2,4.2,8.2,14.2,9.2,7.2,17.2,28.2,0.2,30.2,0.2,84.2,1.2,10.2,6.2,5.2,15.2,5.2,3.2,6.2,14.2,7.2,20.2,2.2,9.2,2.2
s,z,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,1.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2
s,v,1.2,0.2,0.2,0.2,0.2,1.2,1.2,0.2,0.2,0.2,0.2,9.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,1.2,3.2,0.2,0.2,0.2,0.2,0.2
s,t,92.2,10.2,62.2,7.2,53.2,55.2,13.2,8.2,1.2,33.2,1.2,49.2,0.2,2.2,15.2,0.2,15.2,9.2,5.2,11.2,214.2,16.2,0.2,4.2,6.2,16.2
s,x,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,2.2,0.2,2.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2
s,d,15.2,0.2,0.2,0.2,0.2,6.2,0.2,0.2,0.2,3.2,0.2,9.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2
s,f,5.2,3.2,0.2,0.2,0.2,26.2,0.2,1.2,0.2,7.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.2,4.2,0.2,0.2,2.2,0.2,0.2
s,w,5.2,1.2,0.2,1.2,24.2,7.2,1.2,0.2,0.2,2.2,0.2,13.2,0.2,0.2,1.2,1.2,0.2,0.2,1.2,0.2,8.2,0.2,0.2,0.2,0.2,2.2
s,y,2.2,1.2,1.2,5.2,1.2,27.2,1.2,0.2,0.2,0.2,0.2,3.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,1.2,0.2
s,i,8.2,0.2,9.2,53.2,2.2,10.2,11.2,7.2,0.2,2.2,2.2,2.2,1.2,1.2,23.2,0.2,16.2,37.2,2.2,1.2,0.2,3.2,3.2,3.2,17.2,2.2
s,b,12.2,4.2,1.2,0.2,0.2,2.2,1.2,2.2,0.2,4.2,0.2,23.2,0.2,1.2,1.2,4.2,1.2,0.2,0.2,6.2,16.2,0.2,0.2,0.2,0.2,0.2
s,j,3.2,13.2,0.2,0.2,2.2,4.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2
s,g,2.2,3.2,0.2,0.2,0.2,16.2,0.2,4.2,0.2,4.2,0.2,3.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2
s,m,13.2,0.2,0.2,0.2,1.2,8.2,0.2,0.2,0.2,0.2,0.2,9.2,0.2,1.2,1.2,1.2,0.2,0.2,0.2,11.2,13.2,1.2,1.2,0.2,0.2,0.2
s,p,44.2,1.2,0.2,1.2,2.2,13.2,0.2,6.2,0.2,12.2,0.2,15.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,11.2,0.2,0.2,0.2,0.2,1.2
l,a,1.2,13.2,16.2,30.2,9.2,11.2,41.2,7.2,0.2,10.2,3.2,0.2,4.2,1.2,16.2,3.2,11.2,7.2,1.2,15.2,9.2,3.2,4.2,4.2,15.2,6.2
l,u,2.2,0.2,8.2,7.2,0.2,0.2,3.2,1.2,0.2,1.2,1.2,6.2,1.2,0.2,7.2,1.2,1.2,0.2,0.2,0.2,0.2,3.2,0.2,2.2,1.2,3.2
l,c,9.2,0.2,1.2,0.2,2.2,6.2,0.2,0.2,0.2,1.2,1.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2
l,n,1.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,4.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4.2
l,h,4.2,1.2,0.2,0.2,0.2,4.2,0.2,0.2,0.2,2.2,0.2,2.2,0.2,0.2,13.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2
l,o,4.2,10.2,5.2,31.2,1.2,22.2,19.2,6.2,0.2,9.2,0.2,2.2,0.2,107.2,15.2,1.2,2.2,9.2,70.2,0.2,0.2,10.2,0.2,2.2,4.2,2.2
l,s,6.2,0.2,1.2,1.2,5.2,10.2,2.2,0.2,0.2,1.2,1.2,44.2,1.2,0.2,4.2,1.2,1.2,2.2,0.2,1.2,7.2,1.2,0.2,2.2,2.2,4.2
l,l,26.2,5.2,0.2,3.2,8.2,83.2,47.2,12.2,0.2,3.2,2.2,20.2,0.2,0.2,23.2,2.2,9.2,2.2,6.2,33.2,29.2,12.2,2.2,4.2,8.2,1.2
l,q,0.2,1.2,1.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2
l,r,1.2,2.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,13.2,0.2,1.2,3.2,0.2,0.2,0.2,0.2,0.2,4.2,0.2,0.2,0.2,0.2,1.2
l,k,4.2,1.2,0.2,2.2,0.2,1.2,1.2,0.2,0.2,0.2,0.2,4.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,1.2,11.2,1.2,0.2,0.2,2.2,0.2
l,e,102.2,3.2,7.2,46.2,4.2,4.2,43.2,6.2,0.2,11.2,1.2,16.2,1.2,4.2,22.2,1.2,9.2,9.2,7.2,6.2,12.2,7.2,2.2,5.2,14.2,5.2
l,z,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,2.2,0.2,0.2,1.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2,0.2,1.2,0.2,1.2,1.2,0.2
l,v,4.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,4.2,0.2,0.2,0.2,0.2,0.2,1.2,1.2,0.2,6.2,0.2,0.2,0.2,0.2,0.2
l,t,5.2,4.2,0.2,1.2,22.2,7.2,2.2,1.2,0.2,6.2,1.2,4.2,0.2,0.2,0.2,1.2,3.2,0.2,1.2,1.2,5.2,0.2,0.2,0.2,1.2,0.2
l,x,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,5.2,0.2,0.2
l,d,9.2,1.2,5.2,2.2,4.2,7.2,6.2,1.2,0.2,2.2,2.2,11.2,0.2,0.2,1.2,0.2,1.2,4.2,0.2,0.2,6.2,5.2,1.2,4.2,3.2,2.2
l,f,3.2,0.2,3.2,0.2,0.2,2.2,0.2,0.2,0.2,3.2,1.2,0.2,0.2,0.2,2.2,0.2,0.2,1.2,1.2,0.2,6.2,3.2,0.2,2.2,0.2,0.2
l,w,17.2,0.2,1.2,0.2,5.2,1.2,0.2,1.2,0.2,0.2,0.2,6.2,0.2,0.2,0.2,0.2,0.2,0.2,2.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2
l,y,8.2,0.2,6.2,8.2,4.2,11.2,6.2,8.2,0.2,6.2,3.2,3.2,0.2,0.2,5.2,0.2,6.2,5.2,5.2,3.2,6.2,4.2,1.2,2.2,4.2,2.2
l,i,13.2,1.2,8.2,47.2,5.2,2.2,11.2,3.2,1.2,0.2,37.2,62.2,1.2,18.2,18.2,1.2,11.2,22.2,1.2,0.2,1.2,1.2,0.2,6.2,9.2,4.2
l,b,10.2,2.2,1.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,12.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
l,j,0.2,6.2,0.2,0.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2
l,g,1.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,2.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,1.2,4.2,0.2,0.2,0.2,0.2,0.2
l,m,13.2,1.2,0.2,1.2,0.2,5.2,0.2,0.2,0.2,0.2,0.2,7.2,0.2,0.2,0.2,0.2,1.2,1.2,0.2,4.2,2.2,0.2,0.2,0.2,0.2,1.2
l,p,2.2,6.2,0.2,0.2,1.2,0.2,3.2,0.2,0.2,2.2,0.2,0.2,0.2,1.2,1.2,0.2,2.2,0.2,1.2,1.2,2.2,0.2,0.2,0.2,8.2,0.2
q,a,0.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,1.2,2.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2
q,u,4.2,0.2,0.2,0.2,0.2,1.2,2.2,0.2,0.2,0.2,1.2,20.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2,6.2,0.2,0.2,0.2,0.2,0.2
q,c,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2
q,n,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2
q,h,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2
q,o,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2
q,s,0.2,0.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
q,l,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,1.2,0.2,1.2
q,q,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
q,r,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2
q,k,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
q,e,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
q,z,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
q,v,1.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
q,t,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2
