,,a,u,c,n,h,o,s,l,q,r,k,e,z,v,t,x,d,f,w,y,i,b,j,g,m,p
q,x,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2
q,d,2.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,3.2,0.2,0.2,0.2
q,f,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
q,w,1.2,2.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2
q,y,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
q,i,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2
q,b,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
q,j,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2
q,g,0.2,0.2,0.2,0.2,1.2,1.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
q,m,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
q,p,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2
r,a,4.2,8.2,18.2,43.2,6.2,1.2,14.2,14.2,0.2,5.2,0.2,2.2,9.2,14.2,19.2,0.2,12.2,2.2,7.2,2.2,26.2,7.2,3.2,10.2,19.2,6.2
r,u,2.2,0.2,0.2,17.2,0.2,0.2,14.2,6.2,2.2,1.2,1.2,8.2,0.2,0.2,6.2,0.2,3.2,0.2,0.2,0.2,0.2,3.2,0.2,7.2,1.2,4.2
r,c,7.2,1.2,0.2,0.2,8.2,5.2,0.2,1.2,0.2,2.2,0.2,15.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4.2,0.2,2.2,0.2,0.2,0.2
r,n,7.2,1.2,1.2,0.2,1.2,8.2,2.2,0.2,0.2,2.2,1.2,9.2,0.2,1.2,2.2,0.2,2.2,1.2,0.2,0.2,18.2,1.2,0.2,2.2,3.2,1.2
r,h,8.2,0.2,0.2,0.2,0.2,10.2,0.2,0.2,0.2,0.2,0.2,7.2,0.2,0.2,10.2,1.2,0.2,0.2,0.2,0.2,4.2,0.2,0.2,0.2,0.2,0.2
r,o,10.2,17.2,13.2,38.2,6.2,6.2,13.2,11.2,0.2,2.2,3.2,0.2,4.2,2.2,6.2,2.2,4.2,12.2,15.2,0.2,3.2,9.2,0.2,7.2,36.2,9.2
r,s,7.2,2.2,4.2,1.2,12.2,14.2,1.2,3.2,0.2,0.2,3.2,12.2,1.2,4.2,26.2,0.2,4.2,8.2,0.2,2.2,10.2,3.2,2.2,2.2,6.2,6.2
r,l,6.2,2.2,0.2,0.2,1.2,10.2,2.2,0.2,0.2,0.2,0.2,3.2,0.2,0.2,0.2,0.2,14.2,2.2,0.2,5.2,10.2,0.2,1.2,1.2,2.2,1.2
r,q,0.2,3.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
r,r,11.2,5.2,0.2,0.2,2.2,15.2,0.2,2.2,0.2,0.2,0.2,7.2,0.2,0.2,3.2,0.2,0.2,1.2,0.2,15.2,14.2,0.2,0.2,0.2,0.2,1.2
r,k,3.2,0.2,3.2,4.2,3.2,9.2,5.2,0.2,1.2,1.2,0.2,9.2,0.2,0.2,0.2,0.2,1.2,1.2,2.2,0.2,7.2,3.2,0.2,0.2,0.2,1.2
r,e,100.2,2.2,20.2,22.2,29.2,7.2,65.2,11.2,1.2,4.2,5.2,20.2,2.2,11.2,26.2,1.2,18.2,14.2,19.2,27.2,34.2,10.2,0.2,10.2,18.2,14.2
r,z,1.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,1.2,0.2,0.2,1.2,1.2,1.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,3.2,0.2
r,v,2.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,13.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,6.2,0.2,0.2,0.2,0.2,1.2
r,t,21.2,6.2,3.2,1.2,73.2,16.2,15.2,2.2,0.2,7.2,0.2,7.2,5.2,0.2,39.2,0.2,2.2,1.2,5.2,8.2,20.2,3.2,15.2,0.2,3.2,3.2
r,x,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,1.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2
r,d,19.2,0.2,0.2,2.2,1.2,5.2,5.2,2.2,1.2,1.2,0.2,3.2,0.2,0.2,3.2,0.2,3.2,0.2,1.2,0.2,11.2,4.2,1.2,3.2,0.2,0.2
r,f,1.2,3.2,0.2,0.2,0.2,20.2,0.2,2.2,0.2,2.2,0.2,6.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,3.2,0.2,0.2,0.2,0.2,2.2
r,w,6.2,0.2,0.2,0.2,6.2,2.2,0.2,0.2,0.2,0.2,0.2,3.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2
r,y,4.2,0.2,3.2,1.2,5.2,21.2,7.2,4.2,1.2,0.2,0.2,3.2,0.2,0.2,18.2,0.2,4.2,1.2,2.2,2.2,7.2,1.2,0.2,2.2,5.2,2.2
r,i,19.2,3.2,23.2,37.2,1.2,4.2,24.2,17.2,0.2,1.2,1.2,32.2,3.2,14.2,16.2,0.2,10.2,2.2,0.2,2.2,3.2,9.2,0.2,12.2,12.2,9.2
r,b,10.2,2.2,1.2,0.2,0.2,3.2,0.2,1.2,0.2,1.2,0.2,13.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,1.2,6.2,0.2,0.2,0.2,0.2,0.2
r,j,0.2,17.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,1.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,41.2,0.2,0.2,0.2,0.2
r,g,4.2,1.2,0.2,0.2,1.2,10.2,0.2,1.2,0.2,1.2,0.2,9.2,1.2,0.2,0.2,0.2,1.2,0.2,1.2,1.2,3.2,1.2,1.2,0.2,3.2,1.2
r,m,21.2,1.2,0.2,0.2,0.2,3.2,0.2,0.2,0.2,0.2,2.2,11.2,0.2,0.2,0.2,0.2,1.2,0.2,1.2,4.2,4.2,1.2,0.2,0.2,0.2,1.2
r,p,4.2,0.2,1.2,0.2,0.2,4.2,1.2,7.2,0.2,5.2,0.2,2.2,1.2,1.2,0.2,0.2,0.2,0.2,0.2,1.2,1.2,0.2,1.2,0.2,0.2,0.2
k,a,1.2,0.2,0.2,8.2,2.2,1.2,1.2,2.2,0.2,5.2,1.2,0.2,0.2,0.2,7.2,0.2,1.2,0.2,1.2,4.2,3.2,3.2,0.2,2.2,0.2,0.2
k,u,0.2,0.2,0.2,2.2,1.2,0.2,2.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,1.2,2.2,0.2,0.2,0.2,1.2,1.2,1.2,2.2,3.2
k,c,7.2,0.2,0.2,0.2,2.2,2.2,0.2,1.2,2.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
k,n,0.2,0.2,0.2,0.2,0.2,47.2,0.2,1.2,0.2,0.2,0.2,5.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3.2,0.2,0.2,0.2,0.2,1.2
k,h,3.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,5.2,0.2,0.2,0.2,0.2,0.2,3.2,0.2,6.2,0.2,0.2,0.2
k,o,1.2,9.2,1.2,8.2,0.2,2.2,3.2,2.2,0.2,1.2,2.2,0.2,0.2,0.2,0.2,0.2,0.2,6.2,2.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
k,s,6.2,3.2,2.2,1.2,5.2,5.2,0.2,2.2,0.2,1.2,0.2,1.2,0.2,0.2,4.2,0.2,2.2,4.2,0.2,2.2,4.2,4.2,1.2,0.2,1.2,1.2
k,l,1.2,0.2,1.2,3.2,0.2,3.2,0.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,1.2,1.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2
k,q,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
k,r,5.2,2.2,0.2,0.2,1.2,1.2,0.2,0.2,0.2,1.2,0.2,3.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2
k,k,0.2,0.2,1.2,0.2,1.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
k,e,15.2,6.2,0.2,13.2,4.2,4.2,14.2,5.2,0.2,5.2,0.2,7.2,0.2,0.2,17.2,1.2,13.2,5.2,3.2,16.2,2.2,4.2,0.2,2.2,6.2,2.2
k,z,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,29.2,0.2,0.2,0.2,0.2,0.2,0.2,2.2,1.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2
k,v,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2
k,t,0.2,0.2,0.2,0.2,9.2,10.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2
k,x,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
k,d,1.2,0.2,0.2,0.2,0.2,1.2,1.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2
k,f,2.2,1.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,2.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,0.2,1.2,0.2
k,w,3.2,0.2,0.2,1.2,2.2,2.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2
k,y,1.2,0.2,1.2,1.2,0.2,9.2,1.2,1.2,0.2,0.2,1.2,1.2,2.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,1.2,1.2,0.2,0.2,2.2,0.2
k,i,5.2,0.2,4.2,61.2,2.2,0.2,6.2,4.2,0.2,3.2,1.2,0.2,0.2,0.2,7.2,0.2,6.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,4.2,0.2
k,b,2.2,0.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2,1.2,0.2,5.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,3.2,1.2,0.2,0.2,0.2,1.2
k,j,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,3.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2
k,g,0.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,2.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
k,m,1.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,1.2,0.2,15.2,2.2,0.2,0.2,0.2,0.2,0.2,1.2
k,p,1.2,0.2,0.2,0.2,0.2,0.2,0.2,2.2,0.2,2.2,0.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2
e,a,5.2,15.2,17.2,55.2,10.2,0.2,101.2,41.2,0.2,58.2,11.2,1.2,1.2,5.2,43.2,0.2,26.2,4.2,4.2,0.2,2.2,6.2,1.2,8.2,35.2,5.2
e,u,0.2,0.2,2.2,3.2,1.2,0.2,7.2,0.2,0.2,8.2,2.2,2.2,1.2,0.2,1.2,1.2,1.2,1.2,0.2,0.2,0.2,2.2,0.2,1.2,4.2,8.2
e,c,34.2,6.2,2.2,0.2,7.2,30.2,1.2,2.2,0.2,11.2,3.2,4.2,0.2,0.2,15.2,0.2,0.2,0.2,1.2,0.2,10.2,1.2,0.2,0.2,0.2,1.2
e,n,31.2,4.2,15.2,10.2,10.2,18.2,17.2,3.2,1.2,1.2,4.2,41.2,1.2,2.2,60.2,1.2,56.2,4.2,4.2,9.2,23.2,7.2,7.2,9.2,6.2,3.2
e,h,20.2,1.2,0.2,0.2,2.2,5.2,1.2,0.2,0.2,1.2,0.2,19.2,0.2,0.2,54.2,0.2,0.2,0.2,1.2,1.2,6.2,0.2,0.2,0.2,0.2,0.2
e,o,0.2,5.2,0.2,30.2,2.2,1.2,3.2,0.2,1.2,8.2,2.2,0.2,0.2,2.2,3.2,0.2,2.2,22.2,0.2,0.2,2.2,1.2,1.2,2.2,1.2,20.2
e,s,36.2,13.2,12.2,14.2,27.2,32.2,64.2,6.2,0.2,6.2,6.2,22.2,0.2,1.2,87.2,1.2,9.2,4.2,8.2,5.2,29.2,9.2,2.2,5.2,6.2,19.2
e,l,45.2,0.2,8.2,0.2,1.2,53.2,11.2,64.2,0.2,7.2,0.2,34.2,0.2,1.2,9.2,0.2,2.2,12.2,1.2,19.2,83.2,4.2,0.2,2.2,6.2,20.2
e,q,0.2,2.2,0.2,1.2,1.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
e,r,36.2,4.2,7.2,15.2,19.2,32.2,67.2,15.2,1.2,21.2,12.2,128.2,3.2,8.2,47.2,2.2,16.2,29.2,9.2,35.2,26.2,20.2,58.2,12.2,24.2,9.2
e,k,1.2,1.2,1.2,6.2,1.2,2.2,4.2,0.2,0.2,0.2,0.2,9.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2,1.2,3.2,1.2,1.2,1.2,0.2
e,e,7.2,0.2,6.2,33.2,1.2,3.2,6.2,26.2,0.2,7.2,12.2,54.2,0.2,11.2,53.2,4.2,22.2,4.2,1.2,8.2,56.2,3.2,1.2,2.2,6.2,22.2
e,z,3.2,19.2,0.2,0.2,2.2,1.2,2.2,1.2,0.2,0.2,0.2,2.2,3.2,1.2,0.2,0.2,0.2,3.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
e,v,9.2,0.2,0.2,0.2,0.2,4.2,3.2,0.2,0.2,0.2,0.2,91.2,0.2,1.2,0.2,1.2,1.2,0.2,0.2,0.2,10.2,0.2,1.2,0.2,1.2,0.2
e,t,17.2,3.2,3.2,0.2,83.2,39.2,19.2,4.2,0.2,15.2,0.2,15.2,1.2,1.2,26.2,2.2,2.2,1.2,4.2,9.2,11.2,4.2,5.2,2.2,27.2,2.2
e,x,3.2,0.2,4.2,1.2,5.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,9.2,3.2,2.2,0.2,2.2,1.2,1.2,0.2,0.2,0.2,0.2,8.2
e,d,30.2,5.2,3.2,5.2,8.2,24.2,6.2,5.2,0.2,6.2,0.2,9.2,0.2,0.2,21.2,0.2,5.2,3.2,6.2,5.2,27.2,7.2,0.2,0.2,3.2,1.2
e,f,7.2,11.2,1.2,0.2,2.2,41.2,3.2,1.2,0.2,9.2,0.2,3.2,1.2,0.2,5.2,0.2,0.2,2.2,0.2,0.2,7.2,1.2,0.2,0.2,0.2,0.2
e,w,21.2,0.2,0.2,1.2,10.2,19.2,16.2,0.2,0.2,3.2,0.2,11.2,0.2,0.2,1.2,0.2,3.2,1.2,1.2,0.2,28.2,4.2,4.2,2.2,0.2,1.2
e,y,9.2,1.2,2.2,1.2,8.2,87.2,16.2,0.2,0.2,5.2,2.2,11.2,0.2,0.2,2.2,1.2,5.2,3.2,2.2,1.2,1.2,2.2,1.2,2.2,0.2,2.2
e,i,3.2,1.2,5.2,52.2,4.2,0.2,37.2,5.2,0.2,13.2,0.2,1.2,1.2,1.2,71.2,0.2,9.2,5.2,2.2,0.2,0.2,1.2,0.2,2.2,17.2,1.2
e,b,31.2,16.2,1.2,1.2,1.2,13.2,3.2,2.2,0.2,10.2,0.2,183.2,1.2,0.2,0.2,0.2,0.2,1.2,0.2,3.2,3.2,3.2,0.2,0.2,1.2,0.2
e,j,7.2,31.2,0.2,0.2,0.2,1.2,1.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,2.2,0.2,1.2,0.2,0.2
e,g,11.2,6.2,0.2,0.2,0.2,16.2,0.2,0.2,1.2,7.2,1.2,2.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,2.2,20.2,0.2,0.2,0.2,0.2,0.2
e,m,20.2,2.2,0.2,0.2,1.2,33.2,5.2,0.2,0.2,0.2,0.2,32.2,0.2,2.2,4.2,1.2,0.2,0.2,2.2,18.2,14.2,6.2,0.2,1.2,3.2,13.2
e,p,12.2,4.2,0.2,1.2,5.2,8.2,4.2,39.2,1.2,13.2,0.2,9.2,0.2,0.2,3.2,0.2,2.2,0.2,0.2,2.2,16.2,3.2,0.2,0.2,2.2,4.2
z,a,0.2,0.2,1.2,2.2,4.2,0.2,2.2,1.2,0.2,9.2,1.2,0.2,1.2,1.2,0.2,0.2,1.2,0.2,0.2,2.2,0.2,0.2,1.2,0.2,0.2,0.2
z,u,0.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2,3.2,1.2,20.2,0.2,0.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,2.2,1.2,0.2,0.2,0.2
z,c,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2
z,n,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
z,h,1.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2
z,o,0.2,0.2,0.2,4.2,1.2,3.2,0.2,1.2,0.2,1.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.2,0.2
z,s,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2
z,l,1.2,1.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2,16.2,0.2,0.2,0.2,0.2,0.2,1.2,1.2,1.2,2.2,0.2,0.2,0.2,1.2,0.2
z,q,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,1.2
z,r,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,31.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
z,k,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
z,e,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,2.2,0.2,0.2,0.2,2.2,0.2,1.2,0.2,1.2,0.2,1.2,0.2,2.2,0.2
z,z,0.2,0.2,0.2,0.2,0.2,2.2,0.2,17.2,0.2,0.2,0.2,0.2,7.2,1.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,1.2
z,v,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2
z,t,0.2,0.2,0.2,0.2,0.2,3.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
z,x,0.2,1.2,0.2,0.2,0.2,1.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2
z,d,0.2,0.2,0.2,0.2,0.2,1.2,2.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,1.2,0.2,0.2,0.2,0.2,0.2
z,f,1.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,0.2,0.2,1.2,0.2
z,w,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2
z,y,1.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,5.2,0.2,0.2,0.2,0.2,0.2,2.2,0.2,0.2,1.2,1.2,0.2
z,i,1.2,0.2,0.2,8.2,0.2,0.2,1.2,1.2,0.2,1.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,1.2,1.2,0.2
z,b,2.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
z,j,0.2,1.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.2,1.2
